Date,Racism,Sexual minorities,Gender minorities,Homosexuality,Homophobia,Misogyny,Intersectionality,Toxic,Woke,Cancel,Gender roles,Gender identity,Feminism,Masculinity,Other gender,Discrimination,Equality,Rainbow,Prime Minister,Government,Parliament,Agriculture,Industry,Climate,NumOfArticles
2022-02-02,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,9,1,1,2,1,52
2022-02-03,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7,3,0,4,1,32
2022-02-04,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,4,13,2,1,9,2,66
2022-02-05,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,0,0,0,44
2022-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,1,1,43
2022-02-07,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,8,2,0,3,7,51
2022-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,3,2,5,2,50
2022-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,8,3,1,4,0,54
2022-02-10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,11,6,1,1,3,56
2022-02-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,14,0,2,8,5,72
2022-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,2,0,0,0,38
2022-02-13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,0,2,3,36
2022-02-14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,6,1,0,2,3,39
2022-02-15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,1,1,3,54
2022-02-16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,7,3,0,1,4,58
2022-02-17,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,2,8,6,1,2,3,49
2022-02-18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,1,0,2,2,54
2022-02-19,0,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,6,2,1,3,6,36
2022-02-20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,1,2,1,37
2022-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,1,42
2022-02-22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,4,18,4,1,2,2,71
2022-02-23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,1,8,5,78
2022-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,15,1,0,4,1,77
2022-02-25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,7,13,5,2,4,1,80
2022-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,1,1,45
2022-02-27,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,6,1,1,2,1,36
2022-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,7
2022-03-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,6,3,1,4,5,63
2022-03-02,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,7,8,1,2,0,67
2022-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,14,9,0,7,4,73
2022-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,8,4,1,1,4,80
2022-03-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,2,0,0,3,51
2022-03-06,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,2,2,1,1,2,42
2022-03-07,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,2,1,56
2022-03-08,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,4,12,4,1,5,2,74
